收容所編號,名稱,縣市,郵遞區號,鄉鎮,村里,門牌地址,類型,水災,震災,土石流,海嘯,救濟支站,無障礙設施,室內,室外,服務里別,容納人數,收容所面積（平方公尺）,聯絡人姓名,聯絡人連絡電話,管理人姓名,管理人連絡電話,備考
SA106-0001,臺北市民族實驗國中,臺北市,106,大安區,學府里,羅斯福路四段113巷13號,學校,N,備用,N,N,Y,Y,Y,N,古風里、古莊里、龍泉里、學府里、大學里、龍淵里、龍坡里、黎和里,139,558,魏秀恬,02-27322935#231,洪錫璿,02-27322935#201,
SA106-0002,臺北市大安區大安國民小學,臺北市,106,大安區,芳和里,臥龍街129號,學校,Y,備用,N,N,Y,Y,Y,N,黎和里、黎孝里、黎元里、芳和里、臥龍里、虎嘯里、臥龍里、臥龍里、學府里、黎和里,152,608,劉正山,02-27322332#831,連世驊,02-27322332#899,
SA106-0003,臺北市立龍門國民中學,臺北市,106,大安區,龍門里,建國南路二段269號,學校,Y,Y,N,N,Y,Y,Y,N,龍門里、龍坡里、龍生里、新龍里、大學里、臥龍里、龍淵里、龍泉里,319,1277,江孟純,02-27330299#1411,洪國峰,02-27330299#1101,
SA106-0004,臺北市大安區幸安國民小學,臺北市,106,大安區,民炤里,仁愛路3段22號,學校,Y,Y,N,N,Y,Y,Y,N,民炤里、和安里、民輝里、龍圖里,183,733,許佳琪,02-27074191#3300,曾振富,02-27074191#3000,
SA106-0005,大安森林公園,臺北市,106,大安區,龍門里,台北市大安區新生南路二段1號,公園/綠地,Y,Y,N,N,N,Y,N,Y,全區,37949,259354,陳煌耀,02-23032451,陳煌耀,02-23032451,
SA106-0006,臺北市大安運動中心,臺北市,106,大安區,臥龍里,辛亥路三段55號,體育場館/運動中心,Y,備用,N,N,Y,N,Y,N,龍淵、臥龍里,389,2789,蕭幼麟,02-2377-0300#168,林欣儀,02-2570-2330#6424,
SA106-0007,臺北市立大安高級工業職業學校,臺北市,106,大安區,龍圖里,復興南路2段52號,學校,Y,備用,N,N,Y,Y,Y,N,龍圖、仁慈、住安里,100,2035.38,詹宓錫,02-27091630#1401,楊益强,02-27091630#1001,
SA106-0008,"
臺北市立大安國民中學",臺北市,106,大安區,龍雲里,臺北市大安區大安路二段63號,學校,N,備用,N,N,Y,Y,Y,N,住安里、義安里、通化里、群英里、群賢里、龍陣里、龍雲里、龍圖里、全安里、臨江里、法治里、龍生里,100,776,林佑忠,02-27557131#103  ,蔣佳良,02-27557131#168,
SA106-0009,臺北市大安區仁愛國民小學,臺北市,106,大安區,敦安里,安和路一段60號,學校,N,備用,N,N,Y,Y,Y,N,光武里、建安里、建倫里、敦煌里、敦安里、通化里、通安里、德安里、仁慈里、義安里、仁愛里、光信里、車層里、通安里,350,490,周本師,02-27095010#401,林其賢,02-27095010#101,
SA106-0010,臺北市立仁愛國民中學,臺北市,106,大安區,敦安里,仁愛路四段130號,學校,N,備用,N,N,Y,Y,Y,N,建安里、敦安里、德安里、敦煌里、建倫里、光信里、車層里、仁愛里、通安里、正聲里、華聲里、仁愛里、光武里,125,900,朱美銀,02-23255823#1168,周婉玲,02-23255823#1101,
