number,address,lng,lat
1,台北市大安區羅斯福路四段113巷13號,25.011184,121.538832
2,台北市大安區臥龍街129號,25.019507,121.549646
3,台北市大安區建國南路二段269號,25.024899,121.538030
4,台北市大安區仁愛路3段22號,25.037661,121.534949
5,台北市大安區新生南路二段1號,25.030152,121.535351
6,台北市大安區辛亥路三段55號,25.020399,121.546000
7,台北市大安區復興南路2段52號,25.031972,121.543302
8,臺北市大安區大安路二段63號,25.030764,121.546194
9,台北市大安區安和路一段60號,25.035792,121.552386
10,台北市大安區仁愛路四段130號,25.037500,121.550681
11,台北市大安區基隆路四段41巷68弄2號,25.012418,121.542865
12,台北市大安區羅斯福路三段201號,25.020671,121.528486
13,台北市大安區臥龍街100號,25.019639,121.549145
14,台北市大安區臥龍街170號,25.018702,121.550306
15,台北市大安區愛國東路79巷11號,25.032250,121.527762
16,台北市大安區新生南路二段32號,25.031200,121.533123
17,台北市大安區大安路二段99號,25.031200,121.533123
18,台北市大安區新生南路二段36號,25.029758,121.533612
19,臺北市大安區羅斯福路四段21號,25.014240,121.535225
20,台北市大安區新生南路三段33號,25.023952,121.534846
21,台北市大安區忠孝東路三段248巷30號,25.040365,121.541208
22,臺北市大安區信義路3段180號B1,25.033230,121.542396
23,臺北市大安區瑞安街75號,25.028117,121.540930
24,臺北市大安區忠孝東路4段47號,25.028117,121.540930
25,臺北市大安區新生南路1段67號,25.042455,121.533216
26,臺北市大安區信義路2段166號B1,25.033693,121.529439
27,臺北市大安路一段77號B1,25.041916,121.546315
28,臺北市大安區市民大道4段190號地下一樓,25.044212,121.554272
29,台北市大安區和平東路2段311巷29號地下1樓,25.023946,121.546130
30,臺北市大安區辛亥路三段11號3樓,25.021574,121.544047
31,臺北市大安區建國南路二段125號,25.029136,121.538199
32,臺北市大安區永康街60號,25.028500,121.529390
